Real-time data - subject to revision
Copyright Environment Canada(2024)

"Real-Time Hydrometric Data for SAN JUAN RIVER NEAR PORT RENFREW (08HA010) [BC]"

08HA010,"SAN JUAN RIVER NEAR PORT RENFREW"
Description of parameters:
46,"Water level (unit values)",m

Date (PST),Parameter ,Value (m),Approval,Qualifier
2024-10-28 03:35:00,46,4.118,Provisional,UNSPECIFIED
2024-10-28 03:40:00,46,4.130,Provisional,UNSPECIFIED
2024-10-28 03:45:00,46,4.117,Provisional,UNSPECIFIED
2024-10-28 03:50:00,46,4.118,Provisional,UNSPECIFIED
2024-10-28 03:55:00,46,4.140,Provisional,UNSPECIFIED
2024-10-28 04:00:00,46,4.115,Provisional,UNSPECIFIED
2024-10-28 04:05:00,46,4.127,Provisional,UNSPECIFIED
2024-10-28 04:10:00,46,4.121,Provisional,UNSPECIFIED
2024-10-28 04:15:00,46,4.120,Provisional,UNSPECIFIED
2024-10-28 04:20:00,46,4.135,Provisional,UNSPECIFIED
2024-10-28 04:25:00,46,4.139,Provisional,UNSPECIFIED
2024-10-28 04:30:00,46,4.128,Provisional,UNSPECIFIED
2024-10-28 04:35:00,46,4.132,Provisional,UNSPECIFIED
2024-10-28 04:40:00,46,4.138,Provisional,UNSPECIFIED
2024-10-28 04:45:00,46,4.138,Provisional,UNSPECIFIED
2024-10-28 04:50:00,46,4.129,Provisional,UNSPECIFIED
2024-10-28 04:55:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 05:00:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 05:05:00,46,4.163,Provisional,UNSPECIFIED
2024-10-28 05:10:00,46,4.155,Provisional,UNSPECIFIED
2024-10-28 05:15:00,46,4.138,Provisional,UNSPECIFIED
2024-10-28 05:20:00,46,4.140,Provisional,UNSPECIFIED
2024-10-28 05:25:00,46,4.135,Provisional,UNSPECIFIED
2024-10-28 05:30:00,46,4.144,Provisional,UNSPECIFIED
2024-10-28 05:35:00,46,4.129,Provisional,UNSPECIFIED
2024-10-28 05:40:00,46,4.137,Provisional,UNSPECIFIED
2024-10-28 05:45:00,46,4.154,Provisional,UNSPECIFIED
2024-10-28 05:50:00,46,4.145,Provisional,UNSPECIFIED
2024-10-28 05:55:00,46,4.149,Provisional,UNSPECIFIED
2024-10-28 06:00:00,46,4.154,Provisional,UNSPECIFIED
2024-10-28 06:05:00,46,4.162,Provisional,UNSPECIFIED
2024-10-28 06:10:00,46,4.150,Provisional,UNSPECIFIED
2024-10-28 06:15:00,46,4.145,Provisional,UNSPECIFIED
2024-10-28 06:20:00,46,4.142,Provisional,UNSPECIFIED
2024-10-28 06:25:00,46,4.144,Provisional,UNSPECIFIED
2024-10-28 06:30:00,46,4.159,Provisional,UNSPECIFIED
2024-10-28 06:35:00,46,4.130,Provisional,UNSPECIFIED
2024-10-28 06:40:00,46,4.144,Provisional,UNSPECIFIED
2024-10-28 06:45:00,46,4.161,Provisional,UNSPECIFIED
2024-10-28 06:50:00,46,4.157,Provisional,UNSPECIFIED
2024-10-28 06:55:00,46,4.140,Provisional,UNSPECIFIED
2024-10-28 07:00:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 07:05:00,46,4.164,Provisional,UNSPECIFIED
2024-10-28 07:10:00,46,4.157,Provisional,UNSPECIFIED
2024-10-28 07:15:00,46,4.138,Provisional,UNSPECIFIED
2024-10-28 07:20:00,46,4.162,Provisional,UNSPECIFIED
2024-10-28 07:25:00,46,4.144,Provisional,UNSPECIFIED
2024-10-28 07:30:00,46,4.165,Provisional,UNSPECIFIED
2024-10-28 07:35:00,46,4.160,Provisional,UNSPECIFIED
2024-10-28 07:40:00,46,4.155,Provisional,UNSPECIFIED
2024-10-28 07:45:00,46,4.156,Provisional,UNSPECIFIED
2024-10-28 07:50:00,46,4.170,Provisional,UNSPECIFIED
2024-10-28 07:55:00,46,4.156,Provisional,UNSPECIFIED
2024-10-28 08:00:00,46,4.151,Provisional,UNSPECIFIED
2024-10-28 08:05:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 08:10:00,46,4.146,Provisional,UNSPECIFIED
2024-10-28 08:15:00,46,4.146,Provisional,UNSPECIFIED
2024-10-28 08:20:00,46,4.148,Provisional,UNSPECIFIED
2024-10-28 08:25:00,46,4.156,Provisional,UNSPECIFIED
2024-10-28 08:30:00,46,4.132,Provisional,UNSPECIFIED
2024-10-28 08:35:00,46,4.145,Provisional,UNSPECIFIED
2024-10-28 08:40:00,46,4.142,Provisional,UNSPECIFIED
2024-10-28 08:45:00,46,4.158,Provisional,UNSPECIFIED
2024-10-28 08:50:00,46,4.153,Provisional,UNSPECIFIED
2024-10-28 08:55:00,46,4.135,Provisional,UNSPECIFIED
2024-10-28 09:00:00,46,4.138,Provisional,UNSPECIFIED
2024-10-28 09:05:00,46,4.144,Provisional,UNSPECIFIED
2024-10-28 09:10:00,46,4.128,Provisional,UNSPECIFIED
2024-10-28 09:15:00,46,4.127,Provisional,UNSPECIFIED
2024-10-28 09:20:00,46,4.126,Provisional,UNSPECIFIED
2024-10-28 09:25:00,46,4.115,Provisional,UNSPECIFIED
2024-10-28 09:30:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 09:35:00,46,4.116,Provisional,UNSPECIFIED
2024-10-28 09:40:00,46,4.120,Provisional,UNSPECIFIED
2024-10-28 09:45:00,46,4.103,Provisional,UNSPECIFIED
2024-10-28 09:50:00,46,4.114,Provisional,UNSPECIFIED
2024-10-28 09:55:00,46,4.111,Provisional,UNSPECIFIED
2024-10-28 10:00:00,46,4.093,Provisional,UNSPECIFIED
2024-10-28 10:05:00,46,4.102,Provisional,UNSPECIFIED
2024-10-28 10:10:00,46,4.093,Provisional,UNSPECIFIED
2024-10-28 10:15:00,46,4.095,Provisional,UNSPECIFIED
2024-10-28 10:20:00,46,4.086,Provisional,UNSPECIFIED
2024-10-28 10:25:00,46,4.076,Provisional,UNSPECIFIED
2024-10-28 10:30:00,46,4.092,Provisional,UNSPECIFIED
2024-10-28 10:35:00,46,4.086,Provisional,UNSPECIFIED
2024-10-28 10:40:00,46,4.083,Provisional,UNSPECIFIED
2024-10-28 10:45:00,46,4.060,Provisional,UNSPECIFIED
2024-10-28 10:50:00,46,4.076,Provisional,UNSPECIFIED
2024-10-28 10:55:00,46,4.061,Provisional,UNSPECIFIED
2024-10-28 11:00:00,46,4.066,Provisional,UNSPECIFIED
2024-10-28 11:05:00,46,4.052,Provisional,UNSPECIFIED
2024-10-28 11:10:00,46,4.042,Provisional,UNSPECIFIED
2024-10-28 11:15:00,46,4.039,Provisional,UNSPECIFIED
2024-10-28 11:20:00,46,4.039,Provisional,UNSPECIFIED
2024-10-28 11:25:00,46,4.039,Provisional,UNSPECIFIED
2024-10-28 11:30:00,46,4.042,Provisional,UNSPECIFIED
2024-10-28 11:35:00,46,4.046,Provisional,UNSPECIFIED
2024-10-28 11:40:00,46,4.037,Provisional,UNSPECIFIED
2024-10-28 11:45:00,46,4.019,Provisional,UNSPECIFIED
2024-10-28 11:50:00,46,4.026,Provisional,UNSPECIFIED
2024-10-28 11:55:00,46,4.021,Provisional,UNSPECIFIED
2024-10-28 12:00:00,46,4.004,Provisional,UNSPECIFIED
2024-10-28 12:05:00,46,4.022,Provisional,UNSPECIFIED
2024-10-28 12:10:00,46,3.991,Provisional,UNSPECIFIED
2024-10-28 12:15:00,46,3.988,Provisional,UNSPECIFIED
2024-10-28 12:20:00,46,3.991,Provisional,UNSPECIFIED
2024-10-28 12:25:00,46,3.983,Provisional,UNSPECIFIED
2024-10-28 12:30:00,46,3.979,Provisional,UNSPECIFIED
2024-10-28 12:35:00,46,3.984,Provisional,UNSPECIFIED
2024-10-28 12:40:00,46,3.977,Provisional,UNSPECIFIED
2024-10-28 12:45:00,46,3.962,Provisional,UNSPECIFIED
2024-10-28 12:50:00,46,3.959,Provisional,UNSPECIFIED
2024-10-28 12:55:00,46,3.955,Provisional,UNSPECIFIED
2024-10-28 13:00:00,46,3.954,Provisional,UNSPECIFIED
2024-10-28 13:05:00,46,3.959,Provisional,UNSPECIFIED
2024-10-28 13:10:00,46,3.948,Provisional,UNSPECIFIED
2024-10-28 13:15:00,46,3.945,Provisional,UNSPECIFIED
2024-10-28 13:20:00,46,3.925,Provisional,UNSPECIFIED
2024-10-28 13:25:00,46,3.930,Provisional,UNSPECIFIED
2024-10-28 13:30:00,46,3.922,Provisional,UNSPECIFIED
2024-10-28 13:35:00,46,3.914,Provisional,UNSPECIFIED
2024-10-28 13:40:00,46,3.920,Provisional,UNSPECIFIED
2024-10-28 13:45:00,46,3.915,Provisional,UNSPECIFIED
2024-10-28 13:50:00,46,3.905,Provisional,UNSPECIFIED
2024-10-28 13:55:00,46,3.904,Provisional,UNSPECIFIED
2024-10-28 14:00:00,46,3.890,Provisional,UNSPECIFIED
2024-10-28 14:05:00,46,3.889,Provisional,UNSPECIFIED
2024-10-28 14:10:00,46,3.878,Provisional,UNSPECIFIED
2024-10-28 14:15:00,46,3.887,Provisional,UNSPECIFIED
2024-10-28 14:20:00,46,3.882,Provisional,UNSPECIFIED
2024-10-28 14:25:00,46,3.881,Provisional,UNSPECIFIED
2024-10-28 14:30:00,46,3.875,Provisional,UNSPECIFIED
2024-10-28 14:35:00,46,3.871,Provisional,UNSPECIFIED
2024-10-28 14:40:00,46,3.855,Provisional,UNSPECIFIED
2024-10-28 14:45:00,46,3.854,Provisional,UNSPECIFIED
2024-10-28 14:50:00,46,3.853,Provisional,UNSPECIFIED
2024-10-28 14:55:00,46,3.852,Provisional,UNSPECIFIED
2024-10-28 15:00:00,46,3.845,Provisional,UNSPECIFIED
2024-10-28 15:05:00,46,3.854,Provisional,UNSPECIFIED
2024-10-28 15:10:00,46,3.837,Provisional,UNSPECIFIED
2024-10-28 15:15:00,46,3.831,Provisional,UNSPECIFIED
2024-10-28 15:20:00,46,3.846,Provisional,UNSPECIFIED
2024-10-28 15:25:00,46,3.829,Provisional,UNSPECIFIED
2024-10-28 15:30:00,46,3.822,Provisional,UNSPECIFIED
2024-10-28 15:35:00,46,3.820,Provisional,UNSPECIFIED
2024-10-28 15:40:00,46,3.802,Provisional,UNSPECIFIED
2024-10-28 15:45:00,46,3.812,Provisional,UNSPECIFIED
2024-10-28 15:50:00,46,3.808,Provisional,UNSPECIFIED
2024-10-28 15:55:00,46,3.806,Provisional,UNSPECIFIED
2024-10-28 16:00:00,46,3.808,Provisional,UNSPECIFIED
2024-10-28 16:05:00,46,3.791,Provisional,UNSPECIFIED
2024-10-28 16:10:00,46,3.792,Provisional,UNSPECIFIED
2024-10-28 16:15:00,46,3.785,Provisional,UNSPECIFIED
2024-10-28 16:20:00,46,3.793,Provisional,UNSPECIFIED
2024-10-28 16:25:00,46,3.785,Provisional,UNSPECIFIED
2024-10-28 16:30:00,46,3.779,Provisional,UNSPECIFIED
2024-10-28 16:35:00,46,3.771,Provisional,UNSPECIFIED
2024-10-28 16:40:00,46,3.768,Provisional,UNSPECIFIED
2024-10-28 16:45:00,46,3.752,Provisional,UNSPECIFIED
2024-10-28 16:50:00,46,3.766,Provisional,UNSPECIFIED
2024-10-28 16:55:00,46,3.751,Provisional,UNSPECIFIED
2024-10-28 17:00:00,46,3.751,Provisional,UNSPECIFIED
2024-10-28 17:05:00,46,3.751,Provisional,UNSPECIFIED
2024-10-28 17:10:00,46,3.752,Provisional,UNSPECIFIED
2024-10-28 17:15:00,46,3.730,Provisional,UNSPECIFIED
2024-10-28 17:20:00,46,3.724,Provisional,UNSPECIFIED
2024-10-28 17:25:00,46,3.728,Provisional,UNSPECIFIED
2024-10-28 17:30:00,46,3.725,Provisional,UNSPECIFIED
2024-10-28 17:35:00,46,3.729,Provisional,UNSPECIFIED
2024-10-28 17:40:00,46,3.723,Provisional,UNSPECIFIED
2024-10-28 17:45:00,46,3.719,Provisional,UNSPECIFIED
2024-10-28 17:50:00,46,3.698,Provisional,UNSPECIFIED
2024-10-28 17:55:00,46,3.698,Provisional,UNSPECIFIED
2024-10-28 18:00:00,46,3.689,Provisional,UNSPECIFIED
2024-10-28 18:05:00,46,3.708,Provisional,UNSPECIFIED
2024-10-28 18:10:00,46,3.702,Provisional,UNSPECIFIED
2024-10-28 18:15:00,46,3.696,Provisional,UNSPECIFIED
2024-10-28 18:20:00,46,3.698,Provisional,UNSPECIFIED
2024-10-28 18:25:00,46,3.690,Provisional,UNSPECIFIED
2024-10-28 18:30:00,46,3.677,Provisional,UNSPECIFIED
2024-10-28 18:35:00,46,3.684,Provisional,UNSPECIFIED
2024-10-28 18:40:00,46,3.678,Provisional,UNSPECIFIED
2024-10-28 18:45:00,46,3.673,Provisional,UNSPECIFIED
2024-10-28 18:50:00,46,3.662,Provisional,UNSPECIFIED
2024-10-28 18:55:00,46,3.668,Provisional,UNSPECIFIED
2024-10-28 19:00:00,46,3.662,Provisional,UNSPECIFIED
2024-10-28 19:05:00,46,3.658,Provisional,UNSPECIFIED
2024-10-28 19:10:00,46,3.649,Provisional,UNSPECIFIED
2024-10-28 19:15:00,46,3.652,Provisional,UNSPECIFIED
2024-10-28 19:20:00,46,3.642,Provisional,UNSPECIFIED
2024-10-28 19:25:00,46,3.642,Provisional,UNSPECIFIED
2024-10-28 19:30:00,46,3.633,Provisional,UNSPECIFIED
2024-10-28 19:35:00,46,3.641,Provisional,UNSPECIFIED
2024-10-28 19:40:00,46,3.634,Provisional,UNSPECIFIED
2024-10-28 19:45:00,46,3.625,Provisional,UNSPECIFIED
2024-10-28 19:50:00,46,3.622,Provisional,UNSPECIFIED
2024-10-28 19:55:00,46,3.625,Provisional,UNSPECIFIED
2024-10-28 20:00:00,46,3.627,Provisional,UNSPECIFIED
2024-10-28 20:05:00,46,3.606,Provisional,UNSPECIFIED
2024-10-28 20:10:00,46,3.617,Provisional,UNSPECIFIED
2024-10-28 20:15:00,46,3.608,Provisional,UNSPECIFIED
2024-10-28 20:20:00,46,3.618,Provisional,UNSPECIFIED
2024-10-28 20:25:00,46,3.602,Provisional,UNSPECIFIED
2024-10-28 20:30:00,46,3.608,Provisional,UNSPECIFIED
2024-10-28 20:35:00,46,3.601,Provisional,UNSPECIFIED
2024-10-28 20:40:00,46,3.596,Provisional,UNSPECIFIED
2024-10-28 20:45:00,46,3.597,Provisional,UNSPECIFIED
2024-10-28 20:50:00,46,3.594,Provisional,UNSPECIFIED
2024-10-28 20:55:00,46,3.587,Provisional,UNSPECIFIED
2024-10-28 21:00:00,46,3.582,Provisional,UNSPECIFIED
2024-10-28 21:05:00,46,3.589,Provisional,UNSPECIFIED
2024-10-28 21:10:00,46,3.584,Provisional,UNSPECIFIED
2024-10-28 21:15:00,46,3.570,Provisional,UNSPECIFIED
2024-10-28 21:20:00,46,3.566,Provisional,UNSPECIFIED
2024-10-28 21:25:00,46,3.572,Provisional,UNSPECIFIED
2024-10-28 21:30:00,46,3.570,Provisional,UNSPECIFIED
2024-10-28 21:35:00,46,3.569,Provisional,UNSPECIFIED
2024-10-28 21:40:00,46,3.560,Provisional,UNSPECIFIED
2024-10-28 21:45:00,46,3.555,Provisional,UNSPECIFIED
2024-10-28 21:50:00,46,3.559,Provisional,UNSPECIFIED
2024-10-28 21:55:00,46,3.554,Provisional,UNSPECIFIED
2024-10-28 22:00:00,46,3.557,Provisional,UNSPECIFIED
2024-10-28 22:05:00,46,3.545,Provisional,UNSPECIFIED
2024-10-28 22:10:00,46,3.550,Provisional,UNSPECIFIED
2024-10-28 22:15:00,46,3.554,Provisional,UNSPECIFIED
2024-10-28 22:20:00,46,3.539,Provisional,UNSPECIFIED
2024-10-28 22:25:00,46,3.541,Provisional,UNSPECIFIED
2024-10-28 22:30:00,46,3.528,Provisional,UNSPECIFIED
2024-10-28 22:35:00,46,3.537,Provisional,UNSPECIFIED
2024-10-28 22:40:00,46,3.527,Provisional,UNSPECIFIED
2024-10-28 22:45:00,46,3.537,Provisional,UNSPECIFIED
2024-10-28 22:50:00,46,3.530,Provisional,UNSPECIFIED
2024-10-28 22:55:00,46,3.534,Provisional,UNSPECIFIED
2024-10-28 23:00:00,46,3.523,Provisional,UNSPECIFIED
2024-10-28 23:05:00,46,3.513,Provisional,UNSPECIFIED
2024-10-28 23:10:00,46,3.514,Provisional,UNSPECIFIED
2024-10-28 23:15:00,46,3.505,Provisional,UNSPECIFIED
2024-10-28 23:20:00,46,3.515,Provisional,UNSPECIFIED
2024-10-28 23:25:00,46,3.505,Provisional,UNSPECIFIED
2024-10-28 23:30:00,46,3.511,Provisional,UNSPECIFIED
2024-10-28 23:35:00,46,3.512,Provisional,UNSPECIFIED
2024-10-28 23:40:00,46,3.502,Provisional,UNSPECIFIED
2024-10-28 23:45:00,46,3.497,Provisional,UNSPECIFIED
2024-10-28 23:50:00,46,3.488,Provisional,UNSPECIFIED
2024-10-28 23:55:00,46,3.487,Provisional,UNSPECIFIED
2024-10-29 00:00:00,46,3.492,Provisional,UNSPECIFIED
2024-10-29 00:05:00,46,3.491,Provisional,UNSPECIFIED
2024-10-29 00:10:00,46,3.479,Provisional,UNSPECIFIED
2024-10-29 00:15:00,46,3.484,Provisional,UNSPECIFIED
2024-10-29 00:20:00,46,3.479,Provisional,UNSPECIFIED
2024-10-29 00:25:00,46,3.487,Provisional,UNSPECIFIED
2024-10-29 00:30:00,46,3.476,Provisional,UNSPECIFIED
2024-10-29 00:35:00,46,3.485,Provisional,UNSPECIFIED
2024-10-29 00:40:00,46,3.468,Provisional,UNSPECIFIED
2024-10-29 00:45:00,46,3.473,Provisional,UNSPECIFIED
2024-10-29 00:50:00,46,3.463,Provisional,UNSPECIFIED
2024-10-29 00:55:00,46,3.460,Provisional,UNSPECIFIED
2024-10-29 01:00:00,46,3.453,Provisional,UNSPECIFIED
2024-10-29 01:05:00,46,3.458,Provisional,UNSPECIFIED
2024-10-29 01:10:00,46,3.463,Provisional,UNSPECIFIED
2024-10-29 01:15:00,46,3.456,Provisional,UNSPECIFIED
2024-10-29 01:20:00,46,3.453,Provisional,UNSPECIFIED
2024-10-29 01:25:00,46,3.455,Provisional,UNSPECIFIED
2024-10-29 01:30:00,46,3.450,Provisional,UNSPECIFIED
2024-10-29 01:35:00,46,3.448,Provisional,UNSPECIFIED
2024-10-29 01:40:00,46,3.450,Provisional,UNSPECIFIED
2024-10-29 01:45:00,46,3.442,Provisional,UNSPECIFIED
2024-10-29 01:50:00,46,3.444,Provisional,UNSPECIFIED
2024-10-29 01:55:00,46,3.441,Provisional,UNSPECIFIED
2024-10-29 02:00:00,46,3.436,Provisional,UNSPECIFIED
2024-10-29 02:05:00,46,3.427,Provisional,UNSPECIFIED
2024-10-29 02:10:00,46,3.428,Provisional,UNSPECIFIED
2024-10-29 02:15:00,46,3.442,Provisional,UNSPECIFIED
2024-10-29 02:20:00,46,3.431,Provisional,UNSPECIFIED
2024-10-29 02:25:00,46,3.421,Provisional,UNSPECIFIED
2024-10-29 02:30:00,46,3.420,Provisional,UNSPECIFIED
2024-10-29 02:35:00,46,3.423,Provisional,UNSPECIFIED
2024-10-29 02:40:00,46,3.423,Provisional,UNSPECIFIED
2024-10-29 02:45:00,46,3.419,Provisional,UNSPECIFIED
2024-10-29 02:50:00,46,3.414,Provisional,UNSPECIFIED
2024-10-29 02:55:00,46,3.407,Provisional,UNSPECIFIED
2024-10-29 03:00:00,46,3.411,Provisional,UNSPECIFIED
2024-10-29 03:05:00,46,3.413,Provisional,UNSPECIFIED
2024-10-29 03:10:00,46,3.407,Provisional,UNSPECIFIED
2024-10-29 03:15:00,46,3.407,Provisional,UNSPECIFIED
2024-10-29 03:20:00,46,3.404,Provisional,UNSPECIFIED
2024-10-29 03:25:00,46,3.398,Provisional,UNSPECIFIED
2024-10-29 03:30:00,46,3.401,Provisional,UNSPECIFIED
2024-10-29 03:35:00,46,3.400,Provisional,UNSPECIFIED
2024-10-29 03:40:00,46,3.398,Provisional,UNSPECIFIED
2024-10-29 03:45:00,46,3.394,Provisional,UNSPECIFIED
2024-10-29 03:50:00,46,3.393,Provisional,UNSPECIFIED
2024-10-29 03:55:00,46,3.390,Provisional,UNSPECIFIED
2024-10-29 04:00:00,46,3.382,Provisional,UNSPECIFIED
2024-10-29 04:05:00,46,3.387,Provisional,UNSPECIFIED
2024-10-29 04:10:00,46,3.376,Provisional,UNSPECIFIED
2024-10-29 04:15:00,46,3.372,Provisional,UNSPECIFIED
2024-10-29 04:20:00,46,3.380,Provisional,UNSPECIFIED
2024-10-29 04:25:00,46,3.370,Provisional,UNSPECIFIED
2024-10-29 04:30:00,46,3.380,Provisional,UNSPECIFIED
2024-10-29 04:35:00,46,3.383,Provisional,UNSPECIFIED
2024-10-29 04:40:00,46,3.378,Provisional,UNSPECIFIED
2024-10-29 04:45:00,46,3.380,Provisional,UNSPECIFIED
2024-10-29 04:50:00,46,3.374,Provisional,UNSPECIFIED
2024-10-29 04:55:00,46,3.366,Provisional,UNSPECIFIED
2024-10-29 05:00:00,46,3.360,Provisional,UNSPECIFIED
2024-10-29 05:05:00,46,3.355,Provisional,UNSPECIFIED
2024-10-29 05:10:00,46,3.361,Provisional,UNSPECIFIED
2024-10-29 05:15:00,46,3.361,Provisional,UNSPECIFIED
2024-10-29 05:20:00,46,3.365,Provisional,UNSPECIFIED
2024-10-29 05:25:00,46,3.359,Provisional,UNSPECIFIED
2024-10-29 05:30:00,46,3.356,Provisional,UNSPECIFIED
2024-10-29 05:35:00,46,3.356,Provisional,UNSPECIFIED
2024-10-29 05:40:00,46,3.358,Provisional,UNSPECIFIED
2024-10-29 05:45:00,46,3.357,Provisional,UNSPECIFIED
2024-10-29 05:50:00,46,3.347,Provisional,UNSPECIFIED
2024-10-29 05:55:00,46,3.347,Provisional,UNSPECIFIED
2024-10-29 06:00:00,46,3.338,Provisional,UNSPECIFIED
2024-10-29 06:05:00,46,3.346,Provisional,UNSPECIFIED
2024-10-29 06:10:00,46,3.348,Provisional,UNSPECIFIED
2024-10-29 06:15:00,46,3.340,Provisional,UNSPECIFIED
2024-10-29 06:20:00,46,3.344,Provisional,UNSPECIFIED
2024-10-29 06:25:00,46,3.336,Provisional,UNSPECIFIED
2024-10-29 06:30:00,46,3.341,Provisional,UNSPECIFIED
2024-10-29 06:35:00,46,3.334,Provisional,UNSPECIFIED
2024-10-29 06:40:00,46,3.328,Provisional,UNSPECIFIED
2024-10-29 06:45:00,46,3.327,Provisional,UNSPECIFIED
2024-10-29 06:50:00,46,3.322,Provisional,UNSPECIFIED
2024-10-29 06:55:00,46,3.326,Provisional,UNSPECIFIED
2024-10-29 07:00:00,46,3.326,Provisional,UNSPECIFIED
2024-10-29 07:05:00,46,3.327,Provisional,UNSPECIFIED
2024-10-29 07:10:00,46,3.321,Provisional,UNSPECIFIED
2024-10-29 07:15:00,46,3.321,Provisional,UNSPECIFIED
2024-10-29 07:20:00,46,3.321,Provisional,UNSPECIFIED
2024-10-29 07:25:00,46,3.318,Provisional,UNSPECIFIED
2024-10-29 07:30:00,46,3.320,Provisional,UNSPECIFIED
2024-10-29 07:35:00,46,3.319,Provisional,UNSPECIFIED
2024-10-29 07:40:00,46,3.318,Provisional,UNSPECIFIED
2024-10-29 07:45:00,46,3.315,Provisional,UNSPECIFIED
2024-10-29 07:50:00,46,3.312,Provisional,UNSPECIFIED
2024-10-29 07:55:00,46,3.313,Provisional,UNSPECIFIED
2024-10-29 08:00:00,46,3.309,Provisional,UNSPECIFIED
2024-10-29 08:05:00,46,3.304,Provisional,UNSPECIFIED
2024-10-29 08:10:00,46,3.302,Provisional,UNSPECIFIED
2024-10-29 08:15:00,46,3.297,Provisional,UNSPECIFIED
2024-10-29 08:20:00,46,3.302,Provisional,UNSPECIFIED
2024-10-29 08:25:00,46,3.303,Provisional,UNSPECIFIED
2024-10-29 08:30:00,46,3.297,Provisional,UNSPECIFIED
2024-10-29 08:35:00,46,3.298,Provisional,UNSPECIFIED
2024-10-29 08:40:00,46,3.298,Provisional,UNSPECIFIED
2024-10-29 08:45:00,46,3.297,Provisional,UNSPECIFIED
2024-10-29 08:50:00,46,3.294,Provisional,UNSPECIFIED
2024-10-29 08:55:00,46,3.297,Provisional,UNSPECIFIED
2024-10-29 09:00:00,46,3.292,Provisional,UNSPECIFIED
2024-10-29 09:05:00,46,3.288,Provisional,UNSPECIFIED
2024-10-29 09:10:00,46,3.293,Provisional,UNSPECIFIED
2024-10-29 09:15:00,46,3.284,Provisional,UNSPECIFIED
2024-10-29 09:20:00,46,3.278,Provisional,UNSPECIFIED
2024-10-29 09:25:00,46,3.278,Provisional,UNSPECIFIED
