ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,242_Species,243_Life_Stage,244_List,248_Adipose_Clip_Sta,249_Fork_Length_mm,250_Height_mm,251_Weight_g,252_Are_you_collecti,254_DNA_sample__What,255_Gill_Vial_,256_Time_gill_sample,258_Clinical_Signs_c,259__of_Adult_Motile,260_Clinical_Comment,266_Is_this_a_lethal,268_Lethal_Sample_,269_Type_of_Lethal_S,271_Fish_Photo_clini,272_Comments
a72a4cd6-457f-4caf-a5c6-441f6c57a437,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:46:43.135Z,2024-03-28T04:42:26.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.46,No,,,,NA,NA,NA,No,,,NA,
157ce8a9-457c-4478-8eca-a46142d64bce,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:49:16.482Z,2024-03-28T04:42:28.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Clipped,38,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
4cca064b-8c93-4968-85f5-41894ad18d7b,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:51:25.412Z,2024-03-28T04:42:30.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,39,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
ff71c486-b55e-4069-80b2-c5b3c07f8fb3,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:53:46.130Z,2024-03-28T04:42:32.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,38,NA,0.4,No,,,,NA,NA,NA,No,,,NA,
26cf05f2-311b-40f4-bb8f-0fc6010de501,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:40:40.685Z,2024-03-28T01:15:48.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
0df36158-ca10-4815-a345-e7469e062ed3,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:42:46.135Z,2024-03-28T01:15:50.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,38,NA,0.47,No,,,,NA,NA,NA,No,,,NA,
f869d8fc-5f09-44db-85d5-b2d098c9f867,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:45:14.705Z,2024-03-28T01:15:52.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,41,NA,0.51,No,,,,NA,NA,NA,No,,,NA,
90653b91-7f8c-44ce-9786-95d24feb7992,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:49:02.587Z,2024-03-28T01:15:54.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,32,NA,0.55,No,,,,NA,NA,NA,No,,,NA,
b0f488f8-c210-43e4-a0ca-587766db4340,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:50:28.944Z,2024-03-28T01:15:56.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,33,NA,0.33,No,,,,NA,NA,NA,No,,,NA,
59da017a-ac95-491d-b7ef-14636ca39702,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:56:19.225Z,2024-03-28T01:16:28.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
ff48a904-8014-447c-b5e5-76abb16ff16a,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T16:57:23.210Z,2024-03-28T01:16:30.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,33,NA,0.2,No,,,,NA,NA,NA,No,,,NA,Mort
037ee202-be0f-4f4c-8390-c10a6a14563b,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:05:53.331Z,2024-03-28T01:16:32.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
e7854df2-e52c-4e9d-929a-0abe99621e45,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:06:54.302Z,2024-03-28T01:16:34.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,43,NA,0.56,No,,,,NA,NA,NA,No,,,NA,
2d127d44-8bf2-499f-baaa-263b595d88db,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:07:54.492Z,2024-03-28T01:16:36.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,41,NA,0.55,No,,,,NA,NA,NA,No,,,NA,
de2983d7-0926-40f4-8ce6-0c2aa21e9f86,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:10:07.473Z,2024-03-28T01:16:38.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.53,No,,,,NA,NA,NA,No,,,NA,
6956f887-74de-4d67-a1ea-7719cbece50d,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:11:45.648Z,2024-03-28T01:16:40.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.45,No,,,,NA,NA,NA,No,,,NA,
49bd37d9-ff51-4045-b60a-eb015e530eb4,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:12:55.721Z,2024-03-28T01:20:10.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,44,NA,0.65,No,,,,NA,NA,NA,No,,,NA,
2798a8fd-a241-4daf-b674-d84f0ed57cfa,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:13:42.313Z,2024-03-28T01:20:13.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,35,NA,0.42,No,,,,NA,NA,NA,No,,,NA,
6576712b-80e0-4435-9d26-1de2e2933abc,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:15:30.809Z,2024-03-28T01:20:15.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
b2401404-f34e-4e0f-8c30-af96d2fb557e,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:16:04.147Z,2024-03-28T01:20:17.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.49,No,,,,NA,NA,NA,No,,,NA,
13240959-499e-4541-b0b3-782bcc8bc472,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:17:42.104Z,2024-03-28T01:20:19.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,35,NA,0.36,No,,,,NA,NA,NA,No,,,NA,
91bfcaf7-bc76-4196-a2e9-b12121e3880d,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:18:34.708Z,2024-03-28T01:20:21.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.49,No,,,,NA,NA,NA,No,,,NA,
4754ffdf-4753-4ac3-bd77-7b686a35e46a,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:20:27.255Z,2024-03-28T01:20:23.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.51,No,,,,NA,NA,NA,No,,,NA,
015dd57b-df26-4417-b7fd-670a3f2b24e9,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:22:11.549Z,2024-03-28T01:20:26.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.5,No,,,,NA,NA,NA,No,,,NA,
d03a673b-8e21-4bca-9912-ca04dc6d6efc,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:22:59.371Z,2024-03-28T01:20:28.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.5,No,,,,NA,NA,NA,No,,,NA,
b71ecc74-295d-40e6-95d0-4ef5658b5c5b,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:24:28.020Z,2024-03-28T01:20:29.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,39,NA,0.5,No,,,,NA,NA,NA,No,,,NA,
e12e4928-49cb-4ab2-a9f7-0c8495670cc8,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:27:33.194Z,2024-03-28T01:20:32.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,41,NA,0.47,No,,,,NA,NA,NA,No,,,NA,
23ce3ff1-21e7-403e-bd0f-90232421815e,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:28:52.953Z,2024-03-28T01:20:34.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,45,NA,0.76,No,,,,NA,NA,NA,No,,,NA,
08e8106d-03fb-4098-b2b1-01ad3116e274,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:29:35.219Z,2024-03-28T01:20:36.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,41,NA,0.48,No,,,,NA,NA,NA,No,,,NA,
d811945a-ca27-4563-ac5e-fa67385343d8,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:30:59.626Z,2024-03-28T01:20:38.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.46,No,,,,NA,NA,NA,No,,,NA,
50d19375-ce04-4c95-a737-779d47389e79,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:32:25.468Z,2024-03-28T01:20:40.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,41,NA,0.5,No,,,,NA,NA,NA,No,,,NA,
a3b0f10c-7c86-4bcb-bedc-51f4426f2074,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:33:59.563Z,2024-03-28T01:20:44.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,39,NA,0.34,No,,,,NA,NA,NA,No,,,NA,
cf310e72-7094-42cb-a902-a370dc93ddce,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:34:27.033Z,2024-03-28T01:20:42.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,35,NA,0.31,No,,,,NA,NA,NA,No,,,NA,
72db48cc-6aa4-4c34-b78a-e49eef7e6ff8,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:35:36.104Z,2024-03-28T01:20:46.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,48,NA,1.07,No,,,,NA,NA,NA,No,,,NA,
6dc88f41-2046-4439-88f7-e7647e952998,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:36:26.416Z,2024-03-28T01:20:48.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,43,NA,0.47,No,,,,NA,NA,NA,No,,,NA,
cb9b4c83-c61c-4fbf-b506-06c3f0d12b5b,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:37:14.102Z,2024-03-28T01:20:51.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,42,NA,0.57,No,,,,NA,NA,NA,No,,,NA,
26eef6e9-bd5e-429e-a614-d7ec3750079b,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:38:14.807Z,2024-03-28T01:20:52.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,34,NA,0.3,No,,,,NA,NA,NA,No,,,NA,
252a9318-9f18-4b0d-b080-d94cb9e4c7a1,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:39:04.929Z,2024-03-28T01:20:54.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.33,No,,,,NA,NA,NA,No,,,NA,
75aca64c-5b70-4a08-9fe1-4be203193181,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:40:13.783Z,2024-03-28T01:20:57.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
175d10d5-b4de-479a-aad4-dcdb00ea79bf,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:41:45.511Z,2024-03-28T01:21:28.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.43,No,,,,NA,NA,NA,No,,,NA,
c86d269a-46bc-4fd5-b715-4f89cdc3d80a,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:43:31.406Z,2024-03-28T01:21:30.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.6,No,,,,NA,NA,NA,No,,,NA,
92337a26-3eba-409f-aed0-9cc38709db1a,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:45:34.503Z,2024-03-28T01:21:32.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,43,NA,0.64,No,,,,NA,NA,NA,No,,,NA,
3b893a5a-9727-415e-a415-941e012a1e6a,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:48:01.685Z,2024-03-28T01:21:34.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,41,NA,0.59,No,,,,NA,NA,NA,No,,,NA,
82ebfeaa-3c1e-452d-970a-d5bcdb29fb40,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:48:24.899Z,2024-03-28T01:21:36.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,31,NA,0.29,No,,,,NA,NA,NA,No,,,NA,
a4733e20-ca59-4824-8097-dc57ee0b26ce,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:50:31.066Z,2024-03-28T01:21:38.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,39,NA,0.56,No,,,,NA,NA,NA,No,,,NA,
d6b15fb4-0109-4e94-86e2-ee6ff9424348,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:51:54.255Z,2024-03-28T01:21:40.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,38,NA,0.48,No,,,,NA,NA,NA,No,,,NA,
d55657ad-2dbc-4ca9-b77d-1a1c16f2f746,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:54:39.840Z,2024-03-28T01:21:42.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,41,NA,0.49,No,,,,NA,NA,NA,No,,,NA,
8f61066f-a60b-4048-8839-dad4241db48d,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:56:06.231Z,2024-03-28T01:21:44.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
312c064c-f796-4eef-ba1f-e864b532c1bf,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:59:13.354Z,2024-03-28T01:21:47.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,42,NA,0.59,No,,,,NA,NA,NA,No,,,NA,
8af00982-a14f-4561-b493-cc9d6b57cc68,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T17:59:53.091Z,2024-03-28T01:21:49.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.45,No,,,,NA,NA,NA,No,,,NA,
53176241-4840-4fb0-a656-506deb9b7749,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T18:54:07.577Z,2024-03-28T01:21:50.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,37,NA,0.38,No,,,,NA,NA,NA,No,,,NA,
86676104-3c38-4c10-9209-a45ead07855c,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T18:56:14.947Z,2024-03-28T01:21:53.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
d335b666-000b-4c7e-bd5e-3091153591d2,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T18:57:34.754Z,2024-03-28T01:21:55.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,40,NA,0.52,No,,,,NA,NA,NA,No,,,NA,
a4681c88-c608-4c24-b099-297a6e9a6cd4,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T18:59:14.583Z,2024-03-28T01:21:57.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,33,NA,0.63,No,,,,NA,NA,NA,No,,,NA,
21fb91fe-5002-46f3-9405-2cfdf475e357,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:01:28.569Z,2024-03-28T01:21:59.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,35,NA,0.4,No,,,,NA,NA,NA,No,,,NA,
8a78e16c-bfad-45a1-98e6-941bda20375b,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:03:01.579Z,2024-03-28T01:22:01.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,39,NA,0.35,No,,,,NA,NA,NA,No,,,NA,
7feae3f8-b738-4e88-a17b-2e35621625fb,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:05:14.420Z,2024-03-28T01:22:03.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,30,NA,0.23,No,,,,NA,NA,NA,No,,,NA,
0ee512c3-1bd9-46b6-b9c5-f3665215da51,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:06:22.729Z,2024-03-28T01:22:05.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,38,NA,0.46,No,,,,NA,NA,NA,No,,,NA,
3f12fcb8-307a-458e-aa5c-fb56b55bec7f,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:07:40.171Z,2024-03-28T01:22:07.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,39,NA,0.41,No,,,,NA,NA,NA,No,,,NA,
65f96f61-669e-4eaf-91be-c0411c6635df,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:08:24.957Z,2024-03-28T01:22:09.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,39,NA,0.41,No,,,,NA,NA,NA,No,,,NA,
a2864d5d-2ace-462c-abf1-6ba9238a5352,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:09:11.331Z,2024-03-28T01:22:32.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.49,No,,,,NA,NA,NA,No,,,NA,
bcb70002-6e87-4973-a4c2-d4f548393107,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:11:59.167Z,2024-03-28T01:22:34.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.41,No,,,,NA,NA,NA,No,,,NA,
31002ab0-a268-46fc-bae4-ae512c361605,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:12:41.602Z,2024-03-28T01:22:35.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.49,No,,,,NA,NA,NA,No,,,NA,
56fee083-545f-4180-89e3-83b897a663ed,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:13:07.721Z,2024-03-28T01:22:38.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,38,NA,0.45,No,,,,NA,NA,NA,No,,,NA,
a78fe20a-eac9-4ae8-a462-5e35d7017ba6,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:14:21.413Z,2024-03-28T01:22:40.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,37,NA,0.36,No,,,,NA,NA,NA,No,,,NA,
60d5f5b3-8d5d-4a2c-b0e8-634418d5654f,169c61d9-b79c-4a4a-9024-4ac3f345bd81,2024-03-19T19:15:50.977Z,2024-03-28T01:22:41.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.42,No,,,,NA,NA,NA,No,,,NA,
